book,chapter,chapter_rom,verse,text
Ps,15,XV,5,Dominus pars hereditatis meae et calicis mei tu es qui restituisti mihi hereditatem meam
Ps,15,XV,6,funes ceciderunt mihi in praeclaris etenim hereditas mea praeclara est mihi
Ps,15,XV,7,benedicam Dominum qui mihi tribuit intellectum insuper et usque ad noctem increpauerunt me renes mei
Ps,15,XV,8,prouidebam Dominum in conspectu meo semper quoniam a dextris est mihi ne commouear
Ps,15,XV,9,propter hoc delectatum est cor meum et exultauit lingua mea insuper et caro mea requiescet in spe
Ps,15,XV,10,quoniam non derelinques animam meam in inferno nec dabis sanctum tuum uidere corruptionem notas mihi fecisti uias uitae adimplebis me laetitia cum uultu tuo delectationes in dextera tua usque in finem.
Ps,16,XVI,1,ORATIO DAVID Exaudi Domine iustitiam meam intende deprecationi meae auribus percipe orationem meam non in labiis dolosis
Ps,16,XVI,2,de uultu tuo iudicium meum prodeat oculi mei uideant aequitatem
Ps,16,XVI,3,probasti cor meum et uisitasti nocte igne me examinasti et non est inuenta in me iniquitas
Ps,16,XVI,4,ut non loquatur os meum opera hominum propter uerba labiorum tuorum ego custodiui uias duras
Ps,16,XVI,5,perfice gressus meos in semitis tuis ut non moueantur uestigia mea
Ps,16,XVI,6,ego clamaui quoniam exaudisti me Deus inclina aurem tuam mihi et exaudi uerba mea
Ps,16,XVI,7,mirifica misericordias tuas qui saluos facis sperantes in te
Ps,16,XVI,8,a resistentibus dexterae tuae custodi me Domine ut pupillam oculi sub umbra alarum tuarum protege me
Ps,16,XVI,9,a facie impiorum qui me adflixerunt inimici mei animam meam circumdederunt
Ps,16,XVI,10,adipem suum concluserunt os eorum locutum est superbia
Ps,16,XVI,11,proicientes me nunc circumdederunt me oculos suos statuerunt declinare in terram
Ps,16,XVI,12,susceperunt me sicut leo paratus ad praedam et sicut catulus leonis habitans in abditis
Ps,16,XVI,13,exsurge Domine praeueni eos et subuerte eos eripe animam meam ab impio framea
Ps,16,XVI,14,inimicorum de manu tua Domine a paucis a terra dispartire eos et subplanta eos in uita ipsorum de absconditis tuis adimpletus est uenter eorum saturati sunt porcina et reliquerunt quae superfuerunt paruulis suis
Ps,16,XVI,15,ego autem cum iustitia apparebo in conspectu tuo satiabor dum manifestabitur gloria tua.
Ps,17,XVII,1,IN FINEM PVERO DOMINI DAVID QVAE LOCVTVS EST DOMINO VERBA CANTICI HVIVS IN DIE QVA ERIPVIT EVM DOMINVS DE MANV OMNIVM INIMICORVM EIVS ET DE MANV SAVL ET DIXIT
Ps,17,XVII,2,Diligam te Domine uirtus mea
Ps,17,XVII,3,Domine firmamentum meum et refugium meum et liberator meus Deus meus adiutor meus sperabo in eum protector meus et cornu salutis meae adiutor meus
Ps,17,XVII,4,audans inuocabo Dominum et ab inimicis meis saluus ero
Ps,17,XVII,5,circumdederunt me gemitus mortis et torrentes iniquitatis conturbauerunt me
Ps,17,XVII,6,dolores inferni circumdederunt me praeuenerunt me laquei mortis
Ps,17,XVII,7,et in tribulatione mea inuocaui Dominum et ad Deum meum clamaui et exaudiuit de templo sancto suo uocem meam et clamor meus in conspectu eius introiuit in aures eius
Ps,17,XVII,8,et commota est et contremuit terra et fundamenta montium conturbata sunt et commota sunt quonlam iratus est eis Deus
Ps,17,XVII,9,ascendit fumus in ira eius et ignis a facie eius exardescit carbones succensi sunt ab eo
Ps,17,XVII,10,et inclinauit caelos et descendit et caligo sub pedibus eius
Ps,17,XVII,11,et ascendit super Cherubin et uolauit uolauit super pinnas uentorum
Ps,17,XVII,12,et posuit tenebras latibulum suum in circuitu eius tabernaculum eius tenebrosa aqua in nubibus aeris
Ps,17,XVII,13,prae fulgore in conspectu cius nubes transierunt grando et carbones ignis
Ps,17,XVII,14,et intonuit de caelo Dominus et Altissimus dedit uocem suam
Ps,17,XVII,15,misit sagittas suas et dissipauit eos fulgora multiplicauit et conturbauit eos
Ps,17,XVII,16,et apparuerunt fontes aquarum et reuelata .sunt fundamenta orbis terrae ab increpatione tua Domine ab inspiratione spiritus irae tuae
Ps,17,XVII,17,misit de summo et accepit me et adsumpsit me de multitudine aquarum
Ps,17,XVII,18,eripuit me de inimicis meis fortissimis et ab his qui oderunt me quoniam confortati sunt super me
Ps,17,XVII,19,praeuenerunt me in die adflictionis meae et factus est Dominus protector meus
Ps,17,XVII,20,et eduxit me in latitudinem saluum me fecit quoniam uoluit me
Ps,17,XVII,21,et retribuit mihi Dominus secundum iustitiam. meam et secundum innocentiam manuum mearum retribuit mihi
Ps,17,XVII,22,quia custodiui uias Domini nec impie gessi a Deo meo
Ps,17,XVII,23,quoniam omnia iudicia eius in conspectu meo sunt semper et iustitias eius non reppuli a me
Ps,17,XVII,24,et ero inmaculatus coram eo et obseruabo me ab iniquitate mea
Ps,17,XVII,25,et retribuit mihi Dominus secundum iustitiam meam et secundum innocentiam manuum mearum in conspectu oculorum eius
Ps,17,XVII,26,cum sancto sanctus eris et cum uiro innocente innocens eris
Ps,17,XVII,27,et cum electo electus eris et cum peruerso subuerteris
Ps,17,XVII,28,quoniam tu populum humilem saluum facies et oculos superborum humiliabis
Ps,17,XVII,29,quoniam tu inluminas lucernam meam Domine Deus meus inlumina tenebras meas
Ps,17,XVII,30,quoniam a te eripiar a temptatione et in Deo meo transgrediar murum
Ps,17,XVII,31,Deus meus inpolluta uia eius eloquia Domini igne examinata protector est omnium. sperantium in se
Ps,17,XVII,32,quoniam quis Deus praeter Dominum aut quis Deus praeter Deum nostrum
Ps,17,XVII,33,Deus qui praecinxit me uirtute et posuit inmaculatam uiam meam
Ps,17,XVII,34,qui perficit pedes meos tamquam cerui et super excelsa statuit me
Ps,17,XVII,35,qui docet manus meas ad proelium et posuit ut arcum aereum brachia mea
Ps,17,XVII,36,et dedisti mihi protectionem salutis tuae et dextera tua suscepit me et disciplina tua ipsa me docuit
Ps,17,XVII,37,dilatasti gressus meos subtus me et non sunt infirmata uestigia mea
Ps,17,XVII,38,persequar inimicos meos et conprehendam illos et non conuertar donec deficiant
Ps,17,XVII,39,adfligam illos nec potuerunt stare cadent subtus pedes meos
Ps,17,XVII,40,et praecinxisti me uirtute ad bellum subplantasti omnes insurgentes in me subtus me
Ps,17,XVII,41,et inimicorum meorum dedisti mihi dorsum et odientes me disperdidisti
Ps,17,XVII,42,clamauerunt nec erat qui saluos faceret ad Dominum nec exaudiuit eos
Ps,17,XVII,43,et comminuam illos ut puluerem ante faciem uenti ut lutum platearum delebo eos
Ps,17,XVII,44,eripies me de contradictionibus populi constitues me in caput gentium
Ps,17,XVII,45,populus quem non cognoui seruiuit mihi obauditu auris obaudiuit mihi
